,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,,
REPTFUNCBODY1,,,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → &epsilon,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTIMPLDEF3,,,,,,,,,,,,,REPTIMPLDEF3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIMPLDEF3 → FUNCDEF REPTIMPLDEF3,,,,,
REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → &epsilon,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → comma id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,,,,,,,
REPTPROG0,REPTPROG0 → &epsilon,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → &epsilon,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTRUCTDECL4,,REPTSTRUCTDECL4 → VISIBILITY MEMBERDECL REPTSTRUCTDECL4,REPTSTRUCTDECL4 → VISIBILITY MEMBERDECL REPTSTRUCTDECL4,,,,,,,,,,REPTSTRUCTDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARDECL4,,,,,,,,REPTVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARDECL4 → ARRAYSIZE REPTVARDECL4,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARORFUNCCALL,,,,REPTVARORFUNCCALL → &epsilon,,,REPTVARORFUNCCALL → IDNEST REPTVARORFUNCCALL,REPTVARORFUNCCALL → &epsilon,,,,,,,,,,,,,,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,,,,,,,,REPTVARORFUNCCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → &epsilon,,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,,,STATBLOCK → STATEMENT,,STATBLOCK → &epsilon,,,,,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id STATEMENTIDNEST semi,,,,,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar VARIABLE rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar APARAMS rpar STATEMENTIDNEST2,,STATEMENTIDNEST → dot id STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → INDICE REPTIDNEST1 STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST → ASSIGNOP EXPR,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot id STATEMENTIDNEST,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot id STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → ASSIGNOP EXPR,
STRUCTDECL,,,,,,,,,,,,,,,STRUCTDECL → struct id OPTSTRUCTDECL2 lcurbr REPTSTRUCTDECL4 rcurbr semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTORIMPLORFUNC,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → STRUCTDECL,,,,,,,,,,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → IMPLDEF,,STRUCTORIMPLORFUNC → FUNCDEF,,,,,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,
TYPE,,,,,,TYPE → id,,,,,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL,,,,,,,,,,VARDECL → let id colon TYPE REPTVARDECL4 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECLORSTAT,,,,,,VARDECLORSTAT → STATEMENT,,,,VARDECLORSTAT → VARDECL,,,,,,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,,,VARDECLORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → id VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar APARAMS rpar VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
